census_tract,total_loans,va_loans,va_total_amount,conv_loans,fha_loans
04013105101,110,3,3025000,106,1
04013105102,101,3,1415000,96,2
04013105103,73,0,0,73,0
04013105200,129,3,1165000,106,20
04013105300,118,9,4995000,107,2
04013105400,94,4,2960000,85,5
04013105501,15,0,0,12,3
04013105502,14,2,820000,8,4
04013105503,41,3,895000,29,9
04013105601,64,2,650000,36,26
04013105602,90,4,980000,59,27
04013105701,50,3,1045000,23,24
04013105702,70,1,295000,49,20
04013105800,115,4,1330000,71,40
04013105900,89,3,1195000,67,19
04013106001,12,1,245000,8,3
04013106002,25,4,1520000,20,1
04013106003,68,2,560000,51,15
04013106100,96,4,2630000,89,3
04013106200,98,2,1570000,96,0
04013106300,103,1,685000,93,9
04013106400,60,1,735000,56,3
04013106501,69,0,0,68,1
04013106502,86,2,1650000,83,1
04013106600,69,0,0,69,0
04013106701,29,1,345000,27,1
04013106702,24,0,0,21,3
04013106703,66,6,2150000,55,5
04013106801,13,0,0,13,0
04013106802,65,4,1490000,52,9
04013106900,112,3,1005000,79,30
04013107001,52,1,355000,32,19
04013107002,51,4,1240000,35,12
04013107101,64,1,315000,44,19
04013107102,77,4,1060000,60,13
04013107202,55,2,620000,42,11
04013107300,64,3,945000,45,16
04013107401,68,1,335000,63,4
04013107402,16,1,355000,12,3
04013107403,25,2,680000,20,3
04013107500,75,1,745000,73,1
04013107601,58,0,0,55,3
04013107602,61,0,0,60,1
04013107700,71,1,685000,68,2
04013107800,85,1,305000,83,1
04013107900,73,0,0,73,0
04013108000,81,1,1725000,80,0
04013108100,45,0,0,45,0
04013108200,74,1,2335000,71,2
04013108301,82,0,0,80,2
04013108302,61,1,3755000,58,2
04013108400,120,5,1825000,110,5
04013108501,30,1,445000,27,2
04013108502,81,1,535000,76,4
04013108601,15,1,315000,13,1
04013108602,47,1,325000,37,9
04013108802,44,0,0,44,0
04013108901,37,3,1475000,29,5
04013108902,84,3,1155000,72,9
04013109001,22,2,570000,11,9
04013109002,55,1,355000,40,14
04013109003,24,0,0,23,1
04013109101,33,2,500000,20,11
04013109102,45,1,135000,26,18
04013109200,18,2,460000,9,7
04013109300,55,2,590000,34,19
04013109401,28,0,0,20,8
04013109402,36,1,385000,26,9
04013109500,74,3,1055000,44,27
04013109601,61,1,335000,43,17
04013109602,57,1,115000,42,14
04013109603,52,0,0,39,13
04013109604,45,0,0,29,16
04013109702,58,2,710000,33,23
04013109703,25,0,0,15,10
04013109704,24,0,0,15,9
04013109705,18,2,390000,12,4
04013109706,31,0,0,20,11
04013109707,25,0,0,16,9
04013109801,39,1,285000,19,19
04013109802,69,1,315000,44,24
04013109900,65,2,320000,39,24
04013110001,44,1,355000,34,9
04013110002,42,0,0,29,13
04013110100,55,0,0,36,19
04013110400,109,2,1410000,94,13
04013110501,33,2,800000,30,1
04013110502,40,3,2005000,35,2
04013110600,94,2,1060000,87,5
04013110701,19,1,495000,14,4
04013110702,70,3,2075000,64,3
04013110801,76,3,1845000,67,6
04013110802,51,1,1215000,49,1
04013110901,53,0,0,52,1
04013110902,69,4,1560000,62,3
04013111000,121,1,785000,119,1
04013111100,111,0,0,111,0
04013111201,72,0,0,67,5
04013111202,5,0,0,4,1
04013111204,8,1,225000,7,0
04013111300,83,0,0,74,9
04013111401,47,1,235000,37,9
04013111402,31,2,980000,26,3
04013111501,16,1,735000,14,1
04013111502,91,1,345000,82,8
04013111601,44,0,0,33,11
04013111602,37,1,625000,32,4
04013111700,121,3,2145000,114,4
04013111800,125,2,1130000,120,3
04013111900,57,1,1055000,54,2
04013112100,28,0,0,18,10
04013112201,35,0,0,25,10
