census_tract,total_loans,va_loans,va_total_amount,conv_loans,fha_loans
06005000500,58,1,465000,51,6
06001440100,20,0,0,20,0
06037482404,20,1,265000,18,1
06001444100,104,0,0,101,3
06071009906,74,5,1855000,40,29
06065051301,71,8,3400000,31,32
06113010204,54,6,2160000,37,11
06089010805,65,7,3095000,55,3
06065051302,58,2,770000,36,20
06019006001,62,1,495000,43,18
06089010806,33,1,305000,24,8
06037183104,28,0,0,26,2
06037106648,23,0,0,20,3
06081611600,36,0,0,35,1
06037194500,27,0,0,26,1
06037265701,30,0,0,30,0
06067001900,28,1,475000,27,0
06037106649,21,0,0,17,4
06037228600,13,0,0,9,4
06037224600,3,0,0,3,0
06019006002,47,0,0,31,16
06023011600,15,0,0,12,3
06089010807,84,4,1570000,69,11
06037265702,41,0,0,41,0
06075015600,21,0,0,21,0
06067005901,82,2,1120000,74,6
06071009908,97,8,2930000,60,29
06057000502,71,1,175000,63,7
06057000503,18,0,0,17,1
06073003301,25,5,2985000,18,2
06037191620,2,0,0,2,0
06083000700,67,0,0,67,0
06037106020,43,1,375000,31,11
06087120500,127,1,625000,117,9
06067008510,86,0,0,84,2
06067005903,10,1,545000,9,0
06057000504,56,0,0,46,10
06037460101,85,0,0,82,3
06001430900,26,1,865000,24,1
06031000701,90,18,6340000,49,23
06037464101,30,0,0,30,0
06037701701,22,0,0,21,1
06031000702,49,5,1445000,27,17
06073003303,40,9,4995000,29,2
06067005904,83,2,1140000,72,9
06067008512,100,3,1745000,97,0
06085510700,42,0,0,41,1
06037464102,46,0,0,46,0
06037294820,6,0,0,5,1
06037701702,11,0,0,11,0
06073003304,20,6,2810000,13,1
06067008513,68,1,625000,67,0
06037542700,51,0,0,38,13
06071006401,6,0,0,5,1
06001401200,30,0,0,30,0
06037103101,46,0,0,44,2
06055202000,36,0,0,34,2
06075030400,42,0,0,41,1
06037264000,47,0,0,47,0
06073003305,52,5,3265000,39,8
06073014701,69,9,5355000,54,6
06037103102,57,0,0,49,8
06071006402,28,2,890000,17,9
06037402403,26,0,0,18,8
06073014702,75,5,3775000,63,7
06037900102,19,1,405000,10,8
06071002403,31,0,0,22,9
06071002404,15,0,0,11,4
06037402405,38,2,1220000,27,9
06037900103,113,7,2125000,59,47
06037206302,1,0,0,1,0
06037224020,3,0,0,3,0
06037402406,33,0,0,27,5
06103000100,67,9,2785000,50,8
06037294510,9,0,0,4,5
06071002405,29,0,0,19,10
06067008203,65,2,1280000,57,6
06083003001,32,0,0,30,2
06037900104,110,7,2505000,54,46
06001437200,67,0,0,66,1
06037206303,2,0,0,2,0
06071002406,8,0,0,4,4
06065040402,107,3,2315000,91,13
06081604700,28,0,0,28,0
06059075002,40,0,0,37,3
06067008204,85,2,960000,77,6
06081608700,85,0,0,85,0
06013310000,60,0,0,46,14
06037191000,14,0,0,14,0
06065040403,45,3,1715000,31,11
06065044403,89,9,4315000,44,36
06059075003,4,0,0,4,0
06059075004,4,0,0,4,0
06067008206,75,4,2170000,63,8
06083003004,40,0,0,39,1
06065040404,41,2,1070000,25,14
06065044404,58,2,820000,49,7
06083003005,27,0,0,27,0
06067008207,63,1,495000,60,2
06065040405,85,5,2965000,68,12
06065044405,84,3,1495000,73,8
06095252203,66,5,3505000,56,5
06041115000,117,0,0,113,4
06041111001,1,0,0,1,0
06059086402,34,1,755000,31,2
06067008208,46,4,1840000,37,5
06065044406,58,8,3740000,32,18
06037273600,34,0,0,33,1
06037294200,31,0,0,27,4
06095252204,90,2,2160000,85,3
06065044407,75,14,6150000,41,20
06083003007,41,0,0,41,0
06041111002,40,0,0,39,1
06037531800,15,0,0,11,4
06067008209,59,2,1440000,56,1
06095252205,130,3,1815000,117,10
06073007800,35,1,585000,33,1
06085503802,63,0,0,61,2
06059086404,39,2,2110000,31,6
06037232500,33,0,0,24,9
06095252206,108,8,6110000,88,12
06059021820,69,2,1780000,65,2
06045010100,8,0,0,6,2
06037535802,31,0,0,24,7
06085503803,30,0,0,30,0
06059086405,37,0,0,34,3
06099001800,11,0,0,9,2
06059021821,108,5,3045000,99,4
06107002401,85,7,2965000,64,14
06085503804,48,0,0,47,1
06107002402,141,7,2925000,74,60
06037502100,60,2,1320000,48,10
06037535803,17,0,0,14,3
06059086406,21,0,0,21,0
06001442800,40,0,0,38,2
06059021822,142,1,865000,140,1
06047001801,32,3,1715000,27,2
06085507805,22,0,0,22,0
06019000701,10,0,0,8,2
06059086407,44,0,0,42,2
06077002100,28,1,385000,19,8
06059021823,61,1,1125000,57,3
06107002403,107,7,2985000,74,26
06037535804,18,1,605000,13,4
06019000702,14,0,0,10,4
06001405700,28,0,0,25,3
06059021824,43,1,1205000,41,1
06085507806,25,0,0,25,0
06071010300,27,3,635000,17,7
06001409700,30,0,0,22,8
06085507807,23,0,0,23,0
06089011801,32,1,545000,27,4
06037571201,51,0,0,49,2
06037550601,53,4,2540000,40,9
06019004703,49,1,335000,32,16
06059021825,32,0,0,32,0
06037406903,58,3,1385000,49,6
06037575201,24,1,535000,22,1
06007002401,14,1,235000,12,1
06019004704,35,0,0,24,11
06085507808,47,0,0,45,2
06037575202,11,1,815000,5,5
06013307101,60,3,1155000,43,14
06037125321,12,0,0,12,0
06089011802,42,2,970000,34,6
06037571202,47,1,705000,44,2
06037550602,40,1,895000,36,3
06037188100,34,0,0,30,4
06059042111,119,2,1920000,115,2
06059021826,55,1,525000,43,11
06081605200,34,0,0,34,0
06079010403,65,0,0,61,4
06081601200,52,0,0,50,2
06053014601,21,0,0,19,2
06007002402,49,6,2070000,29,14
06023001200,25,0,0,23,2
06089011803,51,4,1750000,37,10
06059021827,55,1,1505000,53,1
06013307102,77,2,940000,54,21
06085503220,37,0,0,35,2
06061020300,57,4,1850000,47,6
06059042112,121,2,2220000,115,4
06019004705,20,0,0,15,5
06079010404,37,1,815000,34,2
06071010030,45,0,0,28,17
06065941100,56,0,0,55,1
06019004706,38,2,510000,27,9
06059042113,72,1,1805000,68,3
06085503221,9,0,0,9,0
06059021828,63,0,0,58,5
06041108100,112,0,0,111,1
06085503222,17,0,0,17,0
06001420500,19,0,0,19,0
06073008380,30,0,0,30,0
06059021829,67,0,0,66,1
06053010603,71,4,2500000,53,14
06013303104,110,4,2350000,102,4
06099000101,70,3,1465000,65,2
06059042114,57,0,0,55,2
06071010031,97,7,2845000,51,39
06081612600,24,0,0,24,0
06037195500,56,1,1845000,54,1
06085500300,33,0,0,33,0
06073008381,15,0,0,15,0
06059042115,18,0,0,18,0
06067002900,90,2,940000,75,13
06053010604,31,1,465000,20,10
06013303105,30,1,815000,22,7
06071010032,70,1,345000,38,31
06041104102,60,2,780000,56,2
06099000102,46,2,1320000,44,0
06071010033,2,0,0,2,0
06053010605,14,1,645000,12,1
06067006901,23,1,285000,20,2
06059042116,80,1,1185000,78,1
06013303106,99,3,2465000,89,7
06041104103,43,0,0,42,1
06037620101,65,2,1590000,61,2
06073004300,48,2,2930000,45,1
06037192620,2,0,0,2,0
06037107020,30,2,1190000,21,7
06037461100,56,1,575000,53,2
06073000301,23,1,765000,22,0
06053010606,55,0,0,49,6
06037620102,25,0,0,24,1
06075012601,17,0,0,17,0
06067006902,31,0,0,21,10
06013391000,33,0,0,32,1
06013303107,87,4,1790000,75,8
06075016601,22,0,0,22,0
06041104104,66,2,1620000,60,4
06055200703,59,2,2690000,54,3
06071010034,113,6,3170000,80,27
06073008301,59,0,0,59,0
06037702700,35,0,0,35,0
06037262704,38,0,0,38,0
06053010607,11,0,0,7,4
06001435900,57,0,0,51,6
06071010035,42,1,335000,22,19
06075012602,16,1,2975000,14,1
06037532302,30,1,465000,21,8
06055200704,49,0,0,48,1
06087121501,34,1,955000,33,0
06073008343,28,0,0,26,2
06073000302,26,1,815000,25,0
06075016602,7,0,0,7,0
06053010608,14,0,0,12,2
06071010036,53,3,1125000,39,11
06031001702,20,1,335000,15,3
06037407400,12,0,0,11,1
06037532303,53,2,1140000,37,14
06073008303,48,0,0,48,0
06055200705,26,0,0,25,1
06095250900,17,0,0,15,2
06073008344,41,0,0,39,2
06087121502,10,1,985000,7,2
06013337300,78,0,0,76,2
06031001703,17,0,0,14,3
06037532304,10,0,0,8,2
06073008345,41,2,1520000,39,0
06037403401,47,1,635000,45,1
06037262706,48,0,0,48,0
06019001201,38,1,265000,28,9
06055200706,55,1,705000,52,2
06085511701,41,0,0,41,0
06071010037,117,7,2735000,64,46
06001402200,25,0,0,24,1
06073008305,3,0,0,3,0
06073015701,5,0,0,5,0
06073019701,74,7,4565000,64,3
06073008346,57,1,1415000,55,1
06037311601,25,0,0,25,0
06085511702,31,0,0,30,1
06083001704,27,0,0,26,1
06071010038,82,6,2520000,46,30
06037269000,45,0,0,45,0
06075035400,53,0,0,53,0
06019001202,21,1,355000,12,8
06055200707,28,1,705000,25,2
06037543701,22,0,0,19,3
06071003401,82,2,960000,58,22
06037403402,29,1,665000,28,0
06075031401,11,0,0,10,1
06073008306,49,0,0,47,2
06085504307,52,0,0,51,1
06037311602,40,0,0,38,2
06037403403,49,0,0,48,1
06073019702,78,3,3025000,69,6
06037240401,17,1,835000,13,3
06037901101,77,8,3830000,55,14
06071010039,77,6,2600000,52,19
06073008347,71,4,3760000,63,4
06037403404,14,0,0,14,0
06037226410,8,0,0,5,3
06085504308,42,0,0,42,0
06073008307,53,1,1405000,52,0
06037901102,118,13,6235000,72,33
06037240402,28,1,595000,20,7
06037543703,32,1,635000,22,9
06075031402,28,0,0,27,1
06071003403,42,1,565000,28,13
06085511704,36,0,0,35,1
06069000300,50,1,735000,40,8
06001450741,68,0,0,68,0
06037104103,19,0,0,17,2
06083001706,59,0,0,56,3
06073008348,49,1,1015000,46,2
06067009201,110,6,3410000,93,11
06037543704,28,0,0,23,5
06085511705,11,0,0,11,0
06071003404,16,1,505000,11,4
06037296901,20,0,0,19,1
06065049400,99,9,4065000,65,25
06073008349,31,1,725000,30,0
06001450742,63,0,0,63,0
06037650300,56,2,1870000,49,5
06001450701,118,0,0,117,1
